age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
28,management,single,,yes,101,yes,no,,9,may,224,3,-1,0,
34,blue-collar,married,secondary,yes,-331,yes,yes,,9,may,342,1,-1,0,
38,technician,married,secondary,yes,9,yes,no,,9,may,129,3,-1,0,
57,self-employed,married,tertiary,yes,-3313,yes,yes,,9,may,153,1,-1,0,
29,admin.,single,secondary,yes,-228,yes,no,,9,may,279,1,-1,0,
31,services,single,secondary,yes,68,yes,no,,9,may,169,2,-1,0,
56,admin.,divorced,secondary,yes,-435,yes,yes,,9,may,185,2,-1,0,
49,admin.,married,secondary,yes,15,no,no,,12,may,290,5,-1,0,
49,management,divorced,tertiary,yes,0,yes,no,,12,may,345,2,-1,0,
51,blue-collar,married,primary,yes,-283,yes,no,,12,may,38,4,-1,0,
26,management,divorced,tertiary,yes,-402,no,yes,,12,may,127,2,-1,0,
28,blue-collar,single,secondary,yes,-871,yes,no,,12,may,36,4,-1,0,
30,blue-collar,single,,yes,-149,yes,yes,,12,may,164,3,-1,0,
31,entrepreneur,single,tertiary,yes,37,yes,no,,12,may,281,1,-1,0,
47,entrepreneur,married,,yes,-1445,yes,no,,12,may,379,2,-1,0,
26,blue-collar,single,secondary,yes,-23,yes,no,,12,may,315,1,-1,0,
32,admin.,divorced,secondary,yes,-18,yes,no,,12,may,155,3,-1,0,
28,unemployed,single,secondary,yes,-353,yes,no,,12,may,89,3,-1,0,
57,blue-collar,married,primary,yes,0,yes,no,,12,may,73,3,-1,0,
26,admin.,divorced,secondary,yes,-3,yes,no,,13,may,181,5,-1,0,
32,unemployed,married,secondary,yes,2,yes,no,,13,may,178,2,-1,0,
32,management,single,tertiary,yes,-3,yes,no,,13,may,500,2,-1,0,
41,blue-collar,divorced,primary,yes,210,yes,no,,13,may,383,1,-1,0,
24,services,single,secondary,yes,-122,yes,no,,13,may,1000,1,-1,0,
47,retired,married,primary,yes,-13,no,no,,13,may,295,1,-1,0,
30,services,married,secondary,yes,-846,yes,no,,13,may,117,1,-1,0,
53,management,married,secondary,yes,-689,yes,no,,13,may,242,1,-1,0,
27,blue-collar,married,primary,yes,-588,no,no,,13,may,531,2,-1,0,
25,services,single,secondary,yes,57,yes,yes,,13,may,190,5,-1,0,
25,admin.,single,secondary,yes,53,yes,no,,14,may,313,4,-1,0,
27,blue-collar,single,secondary,yes,-2,yes,yes,,14,may,123,5,-1,0,
30,blue-collar,single,secondary,yes,447,no,no,,14,may,103,6,-1,0,
39,technician,married,secondary,yes,-183,yes,no,,14,may,202,2,-1,0,
42,admin.,married,secondary,yes,-1300,no,no,,14,may,89,1,-1,0,
41,services,divorced,secondary,yes,-198,no,yes,,14,may,133,1,-1,0,
37,technician,married,tertiary,yes,0,yes,no,,14,may,93,14,-1,0,
50,admin.,divorced,secondary,yes,-500,yes,no,,14,may,148,3,-1,0,
34,blue-collar,single,secondary,yes,-115,yes,no,,14,may,360,1,-1,0,
30,admin.,single,secondary,yes,-35,yes,no,,14,may,1204,4,-1,0,
50,management,married,tertiary,yes,-143,yes,no,,15,may,305,3,-1,0,
47,blue-collar,married,primary,yes,-1385,yes,yes,,15,may,77,1,-1,0,
41,blue-collar,married,secondary,yes,-204,yes,no,,15,may,50,7,-1,0,
36,unemployed,married,secondary,yes,-318,yes,no,,15,may,133,2,-1,0,
34,management,married,,yes,-353,yes,no,,15,may,328,1,-1,0,
55,management,married,,yes,-171,yes,no,,15,may,30,2,-1,0,
33,management,single,secondary,yes,-174,yes,no,,15,may,156,5,-1,0,
44,housemaid,married,primary,yes,-972,yes,yes,,16,may,114,2,-1,0,
57,entrepreneur,married,tertiary,yes,-524,yes,no,,16,may,199,4,-1,0,
27,management,single,tertiary,yes,-308,yes,no,,16,may,213,16,-1,0,
49,blue-collar,divorced,secondary,yes,259,no,no,,16,may,283,2,-1,0,
42,blue-collar,married,primary,yes,398,yes,no,,16,may,251,4,-1,0,
27,management,single,tertiary,yes,0,yes,no,,16,may,89,2,-1,0,
44,entrepreneur,married,secondary,yes,-848,yes,no,,19,may,468,1,-1,0,
44,admin.,married,secondary,yes,-1249,yes,yes,,19,may,83,4,-1,0,
27,management,single,tertiary,yes,0,yes,no,,19,may,352,1,-1,0,
27,blue-collar,single,secondary,yes,-3,yes,no,,19,may,265,5,-1,0,
53,admin.,married,tertiary,yes,6,no,no,,19,may,105,11,-1,0,
35,technician,divorced,secondary,yes,-52,yes,no,,20,may,265,1,-1,0,
38,services,married,secondary,yes,-242,yes,yes,,20,may,236,2,-1,0,
43,blue-collar,married,primary,yes,-635,yes,no,,20,may,37,9,-1,0,
34,services,married,secondary,yes,421,yes,no,,20,may,247,3,-1,0,
35,management,single,secondary,yes,-202,yes,no,,20,may,268,3,-1,0,
38,technician,divorced,tertiary,yes,-530,yes,no,,21,may,236,1,-1,0,
30,blue-collar,single,secondary,yes,239,yes,no,,21,may,412,1,-1,0,
37,services,married,secondary,yes,-954,yes,no,,21,may,111,3,-1,0,
35,technician,married,secondary,yes,-29,yes,yes,,21,may,208,3,-1,0,
36,admin.,divorced,secondary,yes,-491,yes,yes,,21,may,671,3,-1,0,
32,blue-collar,married,secondary,yes,98,no,yes,,23,may,174,1,-1,0,
40,blue-collar,married,primary,yes,-509,yes,no,,23,may,298,1,-1,0,
36,management,divorced,tertiary,yes,-1,yes,yes,,23,may,268,1,-1,0,
24,services,married,secondary,yes,110,yes,no,,23,may,27,1,-1,0,
46,admin.,single,,yes,0,no,no,,23,may,378,2,-1,0,
33,services,divorced,secondary,yes,339,yes,no,,23,may,496,4,-1,0,
32,blue-collar,divorced,,yes,-274,yes,yes,,23,may,456,2,-1,0,
43,entrepreneur,married,secondary,yes,150,yes,yes,,23,may,226,2,-1,0,
34,blue-collar,single,secondary,yes,-369,yes,no,,23,may,353,2,-1,0,
40,services,single,secondary,yes,-306,yes,no,,23,may,253,1,-1,0,
30,blue-collar,single,secondary,yes,4,yes,no,,23,may,84,3,-1,0,
33,blue-collar,married,secondary,yes,2,no,no,,23,may,74,4,-1,0,
26,technician,single,secondary,yes,-516,yes,no,,23,may,386,2,-1,0,
37,technician,married,secondary,yes,-886,yes,no,,26,may,224,1,-1,0,
41,blue-collar,married,secondary,yes,-651,yes,yes,,26,may,374,1,-1,0,
51,housemaid,married,secondary,yes,-1013,yes,no,,26,may,664,1,-1,0,
43,admin.,married,secondary,yes,-204,yes,no,,26,may,163,2,-1,0,
37,blue-collar,married,secondary,yes,1147,yes,yes,,26,may,114,2,-1,0,
47,blue-collar,married,secondary,yes,-614,yes,no,,26,may,118,2,-1,0,
31,blue-collar,married,primary,yes,0,yes,no,,27,may,159,2,-1,0,
32,blue-collar,married,secondary,yes,-238,yes,no,,27,may,427,1,-1,0,
23,blue-collar,single,primary,yes,-627,yes,yes,,27,may,115,1,-1,0,
27,blue-collar,single,secondary,yes,87,yes,no,,27,may,43,1,-1,0,
36,services,single,secondary,yes,-455,no,no,,27,may,124,1,-1,0,
40,blue-collar,married,primary,yes,-56,yes,no,,27,may,316,1,-1,0,
32,blue-collar,married,primary,yes,-275,yes,yes,,27,may,321,1,-1,0,
26,blue-collar,married,primary,yes,-683,yes,yes,,27,may,446,1,-1,0,
32,services,married,secondary,yes,-684,yes,no,,27,may,298,3,-1,0,
25,entrepreneur,single,tertiary,yes,6,yes,yes,,27,may,3,4,-1,0,
34,technician,married,secondary,yes,-34,yes,no,,27,may,201,5,-1,0,
32,technician,married,secondary,yes,-71,yes,no,,28,may,78,2,-1,0,
30,unemployed,single,secondary,yes,-770,yes,no,,28,may,87,1,-1,0,
31,technician,married,secondary,yes,-463,yes,no,,28,may,210,1,-1,0,
40,admin.,married,secondary,yes,-279,yes,no,,28,may,143,2,-1,0,
29,technician,single,secondary,yes,-397,yes,no,,28,may,114,1,-1,0,
34,admin.,single,secondary,yes,7,no,no,,28,may,285,2,-1,0,
45,management,married,tertiary,yes,-1655,yes,no,,28,may,333,2,-1,0,
43,blue-collar,married,secondary,yes,-504,yes,no,,28,may,136,1,-1,0,
31,admin.,married,,yes,-310,yes,no,,28,may,433,3,-1,0,
33,admin.,married,secondary,yes,-675,yes,no,,28,may,245,2,-1,0,
54,technician,married,tertiary,yes,337,yes,no,,28,may,302,2,-1,0,
36,technician,married,secondary,yes,947,yes,no,,28,may,452,2,-1,0,
39,blue-collar,married,secondary,yes,-931,yes,no,,28,may,92,5,-1,0,
36,blue-collar,married,secondary,yes,-347,yes,yes,,28,may,109,3,-1,0,
30,blue-collar,married,primary,yes,0,yes,yes,,28,may,92,5,-1,0,
32,blue-collar,married,secondary,yes,-354,yes,yes,,28,may,51,2,-1,0,
39,entrepreneur,married,tertiary,yes,1,yes,yes,,29,may,102,1,-1,0,
35,blue-collar,married,primary,yes,-1489,yes,yes,,29,may,177,1,-1,0,
48,management,divorced,tertiary,yes,-625,yes,no,,29,may,125,2,-1,0,
39,blue-collar,married,secondary,yes,-16,no,no,,29,may,285,2,-1,0,
43,management,married,tertiary,yes,-3372,yes,no,,29,may,386,2,-1,0,
39,admin.,married,secondary,yes,0,no,no,,29,may,59,3,-1,0,
36,blue-collar,married,primary,yes,-1168,yes,no,,29,may,216,7,-1,0,
43,blue-collar,married,,yes,-715,yes,no,,30,may,67,3,-1,0,
26,services,single,secondary,yes,-599,yes,yes,,30,may,62,3,-1,0,
43,blue-collar,married,primary,yes,1202,no,no,,30,may,295,1,-1,0,
48,technician,married,secondary,yes,0,no,no,,30,may,682,1,-1,0,
31,blue-collar,married,,yes,-13,yes,no,,30,may,176,4,-1,0,
30,services,married,secondary,yes,-849,yes,no,,30,may,138,2,-1,0,
31,management,single,tertiary,yes,-365,yes,no,,30,may,319,6,-1,0,
36,management,single,tertiary,yes,-559,yes,no,,2,jun,71,2,-1,0,
48,services,married,primary,yes,-583,yes,no,,2,jun,25,7,-1,0,
49,technician,divorced,secondary,yes,-757,yes,yes,,2,jun,68,1,-1,0,
57,retired,married,primary,yes,-1480,yes,no,,2,jun,319,5,-1,0,
40,technician,married,secondary,yes,34,yes,no,,2,jun,68,1,-1,0,
34,unemployed,divorced,tertiary,yes,75,yes,no,,2,jun,31,3,-1,0,
34,technician,single,secondary,yes,264,no,no,,2,jun,131,2,-1,0,
42,technician,single,secondary,yes,-1129,yes,no,,2,jun,555,5,-1,0,
44,blue-collar,divorced,primary,yes,-119,yes,no,,2,jun,132,5,-1,0,
36,blue-collar,married,secondary,yes,-2,no,no,,2,jun,316,1,-1,0,
55,unemployed,married,secondary,yes,1108,yes,yes,,2,jun,75,4,-1,0,
31,blue-collar,single,secondary,yes,-575,yes,no,,2,jun,153,9,-1,0,
44,management,divorced,tertiary,yes,-411,yes,no,,2,jun,432,4,-1,0,
32,services,married,secondary,yes,-790,yes,no,,3,jun,159,1,-1,0,
38,management,married,tertiary,yes,-562,yes,no,,3,jun,206,1,-1,0,
30,admin.,married,secondary,yes,-938,yes,no,,3,jun,438,1,-1,0,
25,blue-collar,married,primary,yes,-589,yes,no,,3,jun,233,1,-1,0,
40,self-employed,married,secondary,yes,-754,yes,yes,,3,jun,941,3,-1,0,
37,blue-collar,married,secondary,yes,-399,yes,yes,,3,jun,21,3,-1,0,
31,technician,married,tertiary,yes,859,yes,no,,3,jun,138,2,-1,0,
26,blue-collar,single,secondary,yes,-36,yes,no,,3,jun,482,2,-1,0,
23,blue-collar,single,secondary,yes,-207,yes,no,,3,jun,277,1,-1,0,
30,blue-collar,married,secondary,yes,-18,no,no,,3,jun,157,2,-1,0,
28,technician,single,secondary,yes,-298,yes,no,,3,jun,559,7,-1,0,
55,,married,secondary,yes,-208,yes,no,,3,jun,148,2,-1,0,
44,unemployed,married,secondary,yes,-505,yes,no,,3,jun,113,11,-1,0,
28,blue-collar,single,secondary,yes,0,yes,no,,4,jun,237,1,-1,0,
21,blue-collar,single,secondary,yes,-59,yes,yes,,4,jun,83,1,-1,0,
30,admin.,single,secondary,yes,-242,no,no,,4,jun,276,1,-1,0,
21,blue-collar,married,primary,yes,-426,no,no,,4,jun,139,2,-1,0,
27,management,single,tertiary,yes,-713,yes,no,,4,jun,525,2,-1,0,
29,self-employed,married,tertiary,yes,-1083,yes,no,,4,jun,139,2,-1,0,
29,blue-collar,married,primary,yes,-303,yes,yes,,4,jun,298,3,-1,0,
26,blue-collar,married,secondary,yes,-82,yes,no,,4,jun,23,2,-1,0,
29,admin.,divorced,secondary,yes,-489,yes,no,,4,jun,249,2,-1,0,
29,self-employed,married,tertiary,yes,0,yes,yes,,5,jun,399,3,-1,0,
40,blue-collar,married,primary,yes,11,yes,yes,,5,jun,83,3,-1,0,
43,entrepreneur,married,tertiary,yes,-250,no,no,,5,jun,104,1,-1,0,
37,technician,divorced,secondary,yes,325,yes,yes,,5,jun,487,1,-1,0,
53,management,married,tertiary,yes,0,no,yes,,5,jun,189,1,-1,0,
47,blue-collar,married,primary,yes,0,no,no,,5,jun,148,2,-1,0,
56,housemaid,divorced,primary,yes,1238,no,no,,5,jun,1558,1,-1,0,
39,blue-collar,divorced,primary,yes,-294,yes,no,,5,jun,181,2,-1,0,
30,technician,married,secondary,yes,-1019,yes,no,,5,jun,955,4,-1,0,
39,self-employed,divorced,secondary,yes,-103,no,yes,,5,jun,210,3,-1,0,
58,technician,married,primary,yes,-247,no,no,,6,jun,179,1,-1,0,
28,technician,single,secondary,yes,-1042,yes,no,,6,jun,712,2,-1,0,
59,retired,married,primary,yes,-488,no,yes,,6,jun,247,1,-1,0,
39,self-employed,married,secondary,yes,-571,no,no,,6,jun,180,2,-1,0,
23,technician,single,secondary,yes,150,yes,yes,,6,jun,66,5,-1,0,
53,retired,divorced,secondary,yes,-200,no,yes,,6,jun,161,1,-1,0,
39,entrepreneur,married,secondary,yes,0,no,no,,6,jun,119,4,-1,0,
37,admin.,married,secondary,yes,0,no,no,,9,jun,89,1,-1,0,
54,management,married,tertiary,yes,153,no,no,,9,jun,99,3,-1,0,
53,technician,divorced,secondary,yes,-896,no,yes,,9,jun,452,1,-1,0,
37,technician,single,secondary,yes,375,no,no,,9,jun,223,2,-1,0,
38,self-employed,single,secondary,yes,0,no,no,,11,jun,68,3,-1,0,
42,housemaid,married,primary,yes,16,no,no,,11,jun,79,1,-1,0,
31,blue-collar,single,secondary,yes,-9,yes,yes,,11,jun,115,16,-1,0,
38,blue-collar,married,secondary,yes,-10,no,no,,11,jun,174,1,-1,0,
51,entrepreneur,single,tertiary,yes,15,no,no,,11,jun,104,2,-1,0,
37,blue-collar,married,primary,yes,-142,no,no,,11,jun,199,3,-1,0,
49,entrepreneur,married,secondary,yes,-178,no,yes,,12,jun,84,1,-1,0,
37,technician,married,secondary,yes,693,no,no,,12,jun,75,1,-1,0,
24,blue-collar,single,secondary,yes,-203,yes,no,,12,jun,465,3,-1,0,
48,blue-collar,divorced,secondary,yes,296,no,yes,,16,jun,144,4,-1,0,
59,blue-collar,married,secondary,yes,-918,yes,no,,16,jun,253,2,-1,0,
39,management,married,tertiary,yes,47,no,no,,16,jun,84,3,-1,0,
47,technician,married,tertiary,yes,-813,yes,yes,,16,jun,179,25,-1,0,
36,housemaid,married,tertiary,yes,-1941,yes,no,,16,jun,505,1,-1,0,
53,technician,single,secondary,yes,-435,yes,yes,,16,jun,131,2,-1,0,
50,admin.,married,secondary,yes,-437,yes,yes,,17,jun,83,1,-1,0,
35,admin.,married,secondary,yes,76,no,yes,,17,jun,107,1,-1,0,
45,housemaid,married,primary,yes,0,no,yes,,17,jun,161,1,-1,0,
37,management,single,tertiary,yes,-25,no,no,,17,jun,136,2,-1,0,
37,admin.,divorced,secondary,yes,-302,no,no,,17,jun,406,3,-1,0,
36,blue-collar,married,secondary,yes,0,no,yes,,17,jun,138,5,-1,0,
29,admin.,single,secondary,yes,-95,yes,no,,17,jun,269,3,-1,0,
37,blue-collar,divorced,secondary,yes,-689,no,no,,18,jun,15,1,-1,0,
37,technician,married,secondary,yes,0,no,no,,18,jun,236,1,-1,0,
48,management,married,tertiary,yes,0,no,yes,,18,jun,103,1,-1,0,
38,management,married,tertiary,yes,-1007,yes,yes,,19,jun,71,1,-1,0,
56,retired,married,secondary,yes,101,no,yes,,19,jun,330,1,-1,0,
40,entrepreneur,married,tertiary,yes,0,no,no,,19,jun,952,4,-1,0,
42,management,divorced,secondary,yes,923,yes,no,,19,jun,129,2,-1,0,
56,management,divorced,tertiary,yes,-1968,no,no,,20,jun,60,3,-1,0,
48,self-employed,divorced,secondary,yes,7,no,no,,20,jun,633,2,-1,0,
51,blue-collar,married,secondary,yes,0,no,yes,,20,jun,179,3,-1,0,
42,,single,,yes,61,no,no,,20,jun,115,1,-1,0,
43,blue-collar,divorced,,yes,1,no,no,,20,jun,188,1,-1,0,
44,blue-collar,married,primary,yes,0,no,yes,,20,jun,144,1,-1,0,
30,blue-collar,divorced,secondary,yes,457,yes,no,,20,jun,115,20,-1,0,
41,management,married,secondary,yes,-771,no,yes,,20,jun,343,2,-1,0,
42,admin.,married,secondary,yes,-9,no,no,,20,jun,248,1,-1,0,
39,entrepreneur,divorced,tertiary,yes,-251,no,no,,20,jun,421,6,-1,0,
39,housemaid,divorced,secondary,yes,127,no,no,,20,jun,150,2,-1,0,
47,admin.,married,secondary,yes,-57,no,yes,,20,jun,93,2,-1,0,
50,entrepreneur,married,primary,yes,537,yes,no,,20,jun,11,15,-1,0,
37,entrepreneur,married,tertiary,yes,-456,yes,yes,,20,jun,42,7,-1,0,
37,services,divorced,primary,yes,-475,no,no,,20,jun,27,5,-1,0,
35,blue-collar,divorced,secondary,yes,-12,no,yes,,20,jun,714,4,-1,0,
27,blue-collar,single,secondary,yes,-27,no,no,,23,jun,498,2,-1,0,
29,blue-collar,single,secondary,yes,-580,yes,no,,23,jun,123,2,-1,0,
40,management,married,tertiary,yes,-1036,yes,yes,,23,jun,41,2,-1,0,
36,management,divorced,tertiary,yes,20,no,yes,,24,jun,62,5,-1,0,
47,blue-collar,divorced,secondary,yes,0,no,yes,,26,jun,622,3,-1,0,
32,blue-collar,single,secondary,yes,130,no,no,,26,jun,406,2,-1,0,
49,technician,married,secondary,yes,-1680,yes,yes,,27,jun,92,4,-1,0,
34,entrepreneur,married,secondary,yes,-868,yes,no,,30,jun,198,2,-1,0,
45,entrepreneur,married,secondary,yes,624,no,yes,,30,jun,50,1,-1,0,
44,admin.,married,secondary,yes,0,no,yes,,30,jun,76,3,-1,0,
59,retired,married,secondary,yes,49,no,yes,,1,jul,602,4,-1,0,
31,services,married,tertiary,yes,-90,no,yes,,1,jul,173,1,-1,0,
47,management,married,primary,yes,145,no,yes,,1,jul,163,1,-1,0,
45,unemployed,divorced,primary,yes,-249,yes,yes,,1,jul,92,1,-1,0,
30,services,single,secondary,yes,0,no,yes,,2,jul,95,3,-1,0,
45,technician,divorced,,yes,-25,no,yes,,3,jul,158,3,-1,0,
53,services,divorced,secondary,yes,0,no,yes,,3,jul,172,10,-1,0,
31,self-employed,married,secondary,yes,0,no,yes,,3,jul,327,3,-1,0,
35,admin.,married,secondary,yes,0,no,yes,,4,jul,105,3,-1,0,
43,technician,married,secondary,yes,-313,no,yes,cellular,7,jul,89,4,-1,0,
47,blue-collar,married,primary,yes,25,yes,yes,cellular,7,jul,142,3,-1,0,
51,self-employed,married,secondary,yes,34,no,yes,cellular,7,jul,200,1,-1,0,
34,blue-collar,single,primary,yes,-2,no,yes,cellular,7,jul,199,1,-1,0,
52,technician,divorced,tertiary,yes,-1014,no,yes,cellular,7,jul,154,1,-1,0,
31,housemaid,married,,yes,-6,no,yes,telephone,7,jul,94,2,-1,0,
41,blue-collar,single,secondary,yes,1085,yes,yes,cellular,7,jul,599,1,-1,0,
35,entrepreneur,married,primary,yes,25,no,yes,cellular,7,jul,236,1,-1,0,
49,blue-collar,married,primary,yes,-354,no,yes,cellular,7,jul,455,1,-1,0,
33,blue-collar,single,primary,yes,-15,no,yes,cellular,7,jul,326,2,-1,0,
26,blue-collar,single,secondary,yes,-8019,no,yes,cellular,7,jul,299,3,-1,0,
28,unemployed,single,secondary,yes,-1270,no,yes,telephone,7,jul,237,2,-1,0,
47,blue-collar,married,secondary,yes,-594,yes,yes,cellular,7,jul,100,4,-1,0,
60,management,married,tertiary,yes,-108,no,yes,cellular,7,jul,79,2,-1,0,
40,blue-collar,married,primary,yes,-23,no,yes,cellular,7,jul,756,3,-1,0,
36,blue-collar,single,,yes,-395,yes,no,telephone,7,jul,9,17,-1,0,
52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,8,jul,534,1,-1,0,
45,blue-collar,married,secondary,yes,-605,yes,no,telephone,8,jul,208,5,-1,0,
32,management,married,tertiary,yes,2,no,no,cellular,8,jul,82,1,-1,0,
25,blue-collar,single,secondary,yes,-220,no,no,cellular,8,jul,152,1,-1,0,
27,technician,single,secondary,yes,0,no,yes,cellular,8,jul,732,1,-1,0,
33,entrepreneur,married,secondary,yes,-54,no,yes,cellular,8,jul,42,1,-1,0,
27,management,single,tertiary,yes,0,no,yes,cellular,8,jul,46,1,-1,0,
26,services,single,secondary,yes,74,no,no,cellular,8,jul,362,1,-1,0,
55,blue-collar,married,secondary,yes,67,no,no,cellular,8,jul,267,2,-1,0,
35,self-employed,married,tertiary,yes,28,no,yes,cellular,8,jul,259,1,-1,0,
35,entrepreneur,single,tertiary,yes,793,no,yes,cellular,8,jul,163,1,-1,0,
26,blue-collar,single,secondary,yes,81,no,yes,cellular,8,jul,803,2,-1,0,
34,technician,single,secondary,yes,-2,no,yes,cellular,8,jul,283,1,-1,0,
31,admin.,single,secondary,yes,4,yes,yes,cellular,8,jul,144,1,-1,0,
52,technician,married,secondary,yes,0,no,no,cellular,8,jul,584,2,-1,0,
42,blue-collar,married,secondary,yes,-29,no,yes,cellular,8,jul,294,2,-1,0,
27,admin.,single,secondary,yes,-110,no,yes,cellular,8,jul,90,2,-1,0,
34,blue-collar,married,secondary,yes,1,yes,no,cellular,9,jul,394,1,-1,0,
59,retired,married,,yes,-114,no,yes,cellular,9,jul,611,2,-1,0,
29,admin.,divorced,tertiary,yes,0,no,yes,cellular,9,jul,426,3,-1,0,
46,technician,married,secondary,yes,4,no,yes,cellular,9,jul,78,1,-1,0,
38,management,married,tertiary,yes,327,yes,yes,cellular,9,jul,556,5,-1,0,
56,blue-collar,married,primary,yes,-160,no,no,cellular,9,jul,96,2,-1,0,
47,blue-collar,single,secondary,yes,-380,no,no,cellular,9,jul,399,17,-1,0,
32,admin.,single,secondary,yes,-17,no,no,,9,jul,85,5,-1,0,
33,blue-collar,married,primary,yes,2,yes,yes,cellular,9,jul,227,1,-1,0,
38,entrepreneur,married,secondary,yes,15,yes,no,cellular,10,jul,121,1,-1,0,
28,blue-collar,single,secondary,yes,0,no,yes,cellular,10,jul,165,1,-1,0,
41,blue-collar,married,primary,yes,76,no,yes,cellular,10,jul,439,1,-1,0,
43,self-employed,married,secondary,yes,-1415,no,no,cellular,10,jul,58,1,-1,0,
35,blue-collar,divorced,primary,yes,0,yes,no,cellular,10,jul,187,1,-1,0,
29,technician,single,secondary,yes,-33,no,yes,cellular,10,jul,171,1,-1,0,
37,blue-collar,divorced,secondary,yes,-54,yes,no,cellular,10,jul,573,6,-1,0,
46,blue-collar,married,secondary,yes,-319,no,yes,cellular,10,jul,502,2,-1,0,
37,unemployed,single,tertiary,yes,0,yes,no,cellular,10,jul,108,1,-1,0,
50,services,married,secondary,yes,892,yes,no,cellular,10,jul,189,1,-1,0,
52,blue-collar,single,tertiary,yes,-517,no,yes,cellular,10,jul,340,1,-1,0,
34,blue-collar,married,secondary,yes,-745,yes,yes,cellular,11,jul,131,2,-1,0,
44,services,married,secondary,yes,-146,yes,no,cellular,11,jul,256,2,-1,0,
31,services,single,primary,yes,-357,yes,yes,cellular,11,jul,215,2,-1,0,
44,management,married,secondary,yes,0,yes,no,cellular,11,jul,96,2,-1,0,
43,technician,divorced,secondary,yes,73,yes,no,cellular,14,jul,324,2,-1,0,
33,blue-collar,married,secondary,yes,-406,yes,yes,cellular,14,jul,332,2,-1,0,
52,blue-collar,single,primary,yes,-2,no,no,cellular,14,jul,349,2,-1,0,
59,retired,single,secondary,yes,-341,no,yes,cellular,14,jul,94,3,-1,0,
27,admin.,married,secondary,yes,-517,yes,no,cellular,14,jul,172,3,-1,0,
27,housemaid,married,primary,yes,-238,no,no,cellular,14,jul,132,4,-1,0,
31,management,married,tertiary,yes,0,no,no,cellular,14,jul,118,4,-1,0,
41,technician,married,secondary,yes,-1,no,no,cellular,14,jul,140,2,-1,0,
52,entrepreneur,married,secondary,yes,-36,no,yes,cellular,15,jul,199,4,-1,0,
26,services,married,secondary,yes,27,yes,no,telephone,15,jul,49,3,-1,0,
60,management,divorced,tertiary,yes,20,no,yes,telephone,15,jul,207,3,-1,0,
